CountryCode,Year,CountryName,LifeExp,FertRate,Population,Region
ABW,2015,Aruba,75.5735853658537,1.6469999999999998,104341.0,Latin America & Caribbean
AFG,2015,Afghanistan,60.7171707317073,4.6530000000000005,33736494.0,South Asia
AGO,2015,Angola,52.6660975609756,5.996,27859305.0,Sub-Saharan Africa
ALB,2015,Albania,78.01446341463419,1.7930000000000001,2880703.0,Europe & Central Asia
ARE,2015,United Arab Emirates,77.541243902439,1.767,9154302.0,Middle East & North Africa
ARG,2015,Argentina,76.33421951219509,2.3080000000000003,43417765.0,Latin America & Caribbean
ARM,2015,Armenia,74.7971219512195,1.517,2916950.0,Europe & Central Asia
ATG,2015,Antigua and Barbuda,76.1002195121951,2.063,99923.0,Latin America & Caribbean
AUS,2015,Australia,82.4512195121951,1.8330000000000002,23789338.0,East Asia & Pacific
AUT,2015,Austria,81.8439024390244,1.47,8633169.0,Europe & Central Asia
AZE,2015,Azerbaijan,70.8487804878049,1.97,9649341.0,Europe & Central Asia
BDI,2015,Burundi,57.107048780487794,5.8629999999999995,10199270.0,Sub-Saharan Africa
BEL,2015,Belgium,81.2878048780488,1.74,11274196.0,Europe & Central Asia
BEN,2015,Benin,59.7207073170732,4.688,10575952.0,Sub-Saharan Africa
BFA,2015,Burkina Faso,58.931292682926795,5.437,18110624.0,Sub-Saharan Africa
BGD,2015,Bangladesh,72.0011951219512,2.144,161200886.0,South Asia
BGR,2015,Bulgaria,74.4658536585366,1.53,7177991.0,Europe & Central Asia
BHR,2015,Bahrain,76.81909756097559,2.035,1371855.0,Middle East & North Africa
BHS,2015,"Bahamas, The",75.3968292682927,1.861,386838.0,Latin America & Caribbean
BIH,2015,Bosnia and Herzegovina,76.5885853658537,1.253,3535961.0,Europe & Central Asia
BLR,2015,Belarus,73.6243902439025,1.724,9489616.0,Europe & Central Asia
BLZ,2015,Belize,70.1923658536585,2.546,359288.0,Latin America & Caribbean
BMU,2015,Bermuda,81.0121951219512,1.62,65235.0,North America
BOL,2015,Bolivia,68.73960975609761,2.923,10724705.0,Latin America & Caribbean
BRA,2015,Brazil,74.6758780487805,1.778,205962108.0,Latin America & Caribbean
BRB,2015,Barbados,75.65843902439029,1.796,284217.0,Latin America & Caribbean
BRN,2015,Brunei Darussalam,79.0408292682927,1.8559999999999999,417542.0,East Asia & Pacific
BTN,2015,Bhutan,69.8328536585366,1.984,787386.0,South Asia
BWA,2015,Botswana,64.48741463414639,2.799,2209197.0,Sub-Saharan Africa
CAF,2015,Central African Republic,51.4191219512195,4.206,4546100.0,Sub-Saharan Africa
CAN,2015,Canada,82.1376341463415,1.6,35848610.0,North America
CHE,2015,Switzerland,83.1975609756098,1.54,8282396.0,Europe & Central Asia
CHI,2015,Channel Islands,80.7516829268293,1.473,163758.0,Europe & Central Asia
CHL,2015,Chile,81.7875609756098,1.749,17762681.0,Latin America & Caribbean
CHN,2015,China,75.98634146341459,1.569,1371220000.0,East Asia & Pacific
CIV,2015,Côte d'Ivoire,51.919756097561,4.937,23108472.0,Sub-Saharan Africa
CMR,2015,Cameroon,55.9343902439024,4.63,22834522.0,Sub-Saharan Africa
COD,2015,"Congo, Dem. Rep.",59.023902439024404,5.9079999999999995,76196619.0,Sub-Saharan Africa
COG,2015,"Congo, Rep.",62.867658536585395,4.811,4995648.0,Sub-Saharan Africa
COL,2015,Colombia,74.1820243902439,1.875,48228697.0,Latin America & Caribbean
COM,2015,Comoros,63.5540243902439,4.418,777424.0,Sub-Saharan Africa
CPV,2015,Cabo Verde,73.3556341463415,2.2680000000000002,532913.0,Sub-Saharan Africa
CRI,2015,Costa Rica,79.5864634146341,1.8,4807852.0,Latin America & Caribbean
CUB,2015,Cuba,79.5464146341464,1.6059999999999999,11461432.0,Latin America & Caribbean
CYP,2015,Cyprus,80.30709756097559,1.4380000000000002,1160985.0,Europe & Central Asia
CZE,2015,Czech Republic,79.4731707317073,1.53,10546059.0,Europe & Central Asia
DEU,2015,Germany,81.090243902439,1.5,81686611.0,Europe & Central Asia
DJI,2015,Djibouti,62.285658536585395,3.1310000000000002,927414.0,Middle East & North Africa
DNK,2015,Denmark,81.1,1.69,5683483.0,Europe & Central Asia
DOM,2015,Dominican Republic,73.6766829268293,2.451,10528394.0,Latin America & Caribbean
DZA,2015,Algeria,75.04253658536591,2.805,39871528.0,Middle East & North Africa
ECU,2015,Ecuador,76.1029268292683,2.513,16144368.0,Latin America & Caribbean
EGY,2015,"Egypt, Arab Rep.",71.3169512195122,3.3139999999999996,93778172.0,Middle East & North Africa
ESP,2015,Spain,83.38048780487809,1.32,46447697.0,Europe & Central Asia
EST,2015,Estonia,77.13170731707321,1.54,1315407.0,Europe & Central Asia
ETH,2015,Ethiopia,64.57804878048779,4.275,99873033.0,Sub-Saharan Africa
FIN,2015,Finland,81.3853658536585,1.71,5479531.0,Europe & Central Asia
FJI,2015,Fiji,70.25626829268289,2.54,892149.0,East Asia & Pacific
FRA,2015,France,82.67073170731709,2.01,66624068.0,Europe & Central Asia
FRO,2015,Faroe Islands,81.6341463414634,2.4,48965.0,Europe & Central Asia
FSM,2015,"Micronesia, Fed. Sts.",69.234243902439,3.193,104433.0,East Asia & Pacific
GAB,2015,Gabon,64.8903414634146,3.8489999999999998,1930175.0,Sub-Saharan Africa
GBR,2015,United Kingdom,81.60487804878049,1.81,65128861.0,Europe & Central Asia
GEO,2015,Georgia,74.8174146341463,1.815,3717100.0,Europe & Central Asia
GHA,2015,Ghana,61.49173170731711,4.117,27582821.0,Sub-Saharan Africa
GIN,2015,Guinea,59.193439024390294,4.9319999999999995,12091533.0,Sub-Saharan Africa
GMB,2015,"Gambia, The",60.4676829268293,5.6739999999999995,1977590.0,Sub-Saharan Africa
GNB,2015,Guinea-Bissau,55.4673170731707,4.761,1770526.0,Sub-Saharan Africa
GNQ,2015,Equatorial Guinea,57.9634146341463,4.745,1175389.0,Sub-Saharan Africa
GRC,2015,Greece,81.5878048780488,1.3,10820883.0,Europe & Central Asia
GRD,2015,Grenada,73.523,2.127,106823.0,Latin America & Caribbean
GTM,2015,Guatemala,71.9564878048781,3.159,16252429.0,Latin America & Caribbean
GUM,2015,Guam,79.37899999999999,2.366,161797.0,East Asia & Pacific
GUY,2015,Guyana,66.5075121951219,2.532,768514.0,Latin America & Caribbean
HKG,2015,"Hong Kong SAR, China",84.2780487804878,1.195,7305700.0,East Asia & Pacific
HND,2015,Honduras,73.3331219512195,2.332,8960829.0,Latin America & Caribbean
HRV,2015,Croatia,77.2756097560976,1.46,4203604.0,Europe & Central Asia
HTI,2015,Haiti,63.073756097560995,2.9730000000000003,10711061.0,Latin America & Caribbean
HUN,2015,Hungary,75.9609756097561,1.44,9843028.0,Europe & Central Asia
